image,name,department,rank,ifo,advantage
"https://muzhi-public-pic.cdn.bcebos.com/100114572610?x-bce-process=image/auto-orient,o_1/resize,w_1242,limit_1/quality,q_85/format,f_auto",张立,心血管内科四川大学华西医院,三甲,擅长：冠心病、心肌梗死、稳定型心绞痛、高血压、心脏瓣膜病、冠心病危急重症的诊治以及复杂冠脉病变的介入治疗,优势：全国心血管病声誉排行No.7、教授
"https://medical-kg.cdn.bcebos.com/tp/af2299ffd2270e86b6160c35145cbc03/image_160273178558385b7678.jpg?x-bce-process=image/auto-orient,o_1/resize,w_1242,limit_1/quality,q_85/format,f_auto",陈茂,心脏内科四川大学华西医院,三甲,擅长：心脏瓣膜病微创治疗/冠心病  [心脏瓣膜病微创手术预约请拨打华医通客服电话028-85423666,优势：全国心血管病声誉排行No.7、四川大学华西医院心内科主任、中华医学会心血管病学分会委员$$中华医学会心血管病学分会常务委员
"https://medical-cms.cdn.bcebos.com/pic/pic_1637221847463NCxo7xN2.png?x-bce-process=image/auto-orient,o_1/resize,w_1242,limit_1/quality,q_85/format,f_auto",贺勇,心脏内科四川大学华西医院,三甲,擅长：冠心病、冠脉介入诊治、冠脉影像及生理、心律失常、心力衰竭、心脏急危症,优势：全国心血管病声誉排行No.7、国家卫健委冠脉介入培训基地主任
"https://medical-kg.cdn.bcebos.com/med-cms/image/image_1602731589113301a9d8.jpg?x-bce-process=image/auto-orient,o_1/resize,w_1242,limit_1/quality,q_85/format,f_auto",冯沅,心脏内科四川大学华西医院,三甲,擅长：先天性/瓣膜性心脏病、肺血管病、肺动脉高压、卵圆孔未闭经皮主动脉瓣植入（TAVR/TAVI）、经皮肺动脉瓣植入、婴幼儿复杂先天性心脏病及简单先天性心脏病介入诊疗、成人复杂及简单先天性心脏病介入诊疗、如肺栓塞、肺血栓等）及罕见肺血管病（如肺动静脉瘘、肺动脉分支狭窄、肺动脉炎等介入诊疗、各种原因的肺动脉高压介入诊疗、有症状的卵圆孔未闭介入治疗、心脏重症ECMO治疗、心血管异物介入取出,优势：全国心血管病声誉排行No.7
"https://zhuanjia.su.bcebos.com/zhuanjia/b1615694627897280154.png?x-bce-process=image/auto-orient,o_1/resize,w_1242,limit_1/quality,q_85/format,f_auto",崔凯军,心脏内科四川大学华西医院,三甲,擅长：心律失常、尤其擅长房颤、室速（包括复杂病理性室速）、房扑（包括先心病术后复杂瘢痕依赖性房速）阵发性室上速、室早的射频消融、肺动脉高压的诊断与治疗、冠心病的诊治、心力衰竭的诊治、难治性高血压的诊治、擅长复杂心血管疾病的诊断及治疗,优势：全国心血管病声誉排行No.7
"https://doctorbase.cdn.bcebos.com/zc_img/5YWl5bqT5pWw5o2u56ysMeaJuTIwMjMwMTA0X+WMu+eUn+W6k+mqjOecn+aVsOaNrjEyMTMt6LW15Li577yIMe+8iQ==/dfe4acd4ca45dfa579deecee24aaeefe.png?x-bce-process=image/auto-orient,o_1/resize,w_1242,limit_1/quality,q_85/format,f_auto",张庆,心脏内科四川大学华西医院,三甲,擅长：心力衰竭、高血压、心脏超声诊断,优势：全国心血管病声誉排行No.7、从事临床及教学科研工作近20年、教授
"https://medical-cms.cdn.bcebos.com/pic/pic_1640670706097TXtCH5Sw.png?x-bce-process=image/auto-orient,o_1/resize,w_1242,limit_1/quality,q_85/format,f_auto",祝烨,心脏内科四川大学华西医院,三甲,擅长：若您或家属需要预约华西医院心内科冠心病支架手术,优势：全国心血管病声誉排行No.7
https://selfpage-gips.cdn.bcebos.com/1d6fccc5ed26f20aa7e1a1aa4794b9f0@!img_w120_h120,杨庆,心脏内科四川大学华西医院,三甲,擅长：心律失常、包括各种预激综合征、室上性心动过速、房扑、房颤、室速及早搏等的射频消融术、尤其擅长于治疗复杂及疑难心律失常 心律失常的药物治疗 心力衰竭的诊断和治疗 冠心病的诊断和药物治疗,优势：全国心血管病声誉排行No.7、副教授（副主任医师）和教授（主任医师）
"https://muzhi-public-pic.cdn.bcebos.com/100115170495?x-bce-process=image/auto-orient,o_1/resize,w_1242,limit_1/quality,q_85/format,f_auto",张逸杰,心血管内科四川大学华西医院,三甲,擅长：先天性心脏病、冠心病、心肌梗死、继发性高血压、心力衰竭、心脏瓣膜病、常见先心病的介入诊治、冠心病介入治疗、肾动脉狭窄介入治疗、各类复杂先心病、各类肺动脉高压的心导管检查及长期随访、慢性血栓栓塞性肺动脉高压（CTEPH）的肺血管球囊成形术、经导管主动脉瓣置换（TAVR）术前影像评估及手术全流程、肾上腺静脉采血鉴别继发性高血压、擅长心脏内科各种常见、多发病的临床诊治、尤其擅长各类复杂先心病CT三维重建及解构,优势：全国心血管病声誉排行No.7
"https://medical-cms.cdn.bcebos.com/pic/pic_1644318897806MxFnOE3F.jpeg?x-bce-process=image/auto-orient,o_1/resize,w_1242,limit_1/quality,q_85/format,f_auto",付华,心脏内科四川大学华西医院,三甲,擅长：早搏及心动过速为表现的各种快速型心律失常、尤其是心房纤颤/心房颤动的导管消融治疗、房颤“一站式手术”治疗、在各种室性心律失常（早搏及室性心动过速）、房性心动过速、阵发性室上性心动过速等复杂型快速心律失常射频消融治疗,优势：全国心血管病声誉排行No.7、四川大学华西医院心血管内科主任医师/教授
